Source_Average_Rating,Source_Median_Rating,SD_Rating,Source,Target,confidence,counts,Target_avg_distance,Target_avg_rating,Target_median_distance,Target_median_rating,Target_sd_rating
3.913076923,3.9,0.177325629,PandaExpress,McDonalds,0.451137398,264,1371,3.73,1062,3.8,0.164217543
3.913076923,3.9,0.177325629,PandaExpress,In-N-OutBurger,0.327206551,238,3771,4.63,3113,4.6,0.064426988
3.913076923,3.9,0.177325629,PandaExpress,Subway,0.306278435,254,791,3.92,614,4,0.425763693
3.913076923,3.9,0.177325629,PandaExpress,JackintheBox,0.263148317,236,1860,3.94,1521,3.95,0.119791665
3.913076923,3.9,0.177325629,PandaExpress,ElPolloLoco,0.14722475,206,1992,3.97,2034,4,0.220851914
3.913076923,3.9,0.177325629,PandaExpress,TacoBell,0.121383076,100,2183,3.93,1761,4,0.253329825
3.913076923,3.9,0.177325629,PandaExpress,CarlsJr.,0.106096451,136,2044,3.85,1553.5,3.9,0.153871604
3.832051282,3.9,0.271507468,CarlsJr.,McDonalds,0.524167921,308,1426,3.76,1181.5,3.8,0.141780179
3.832051282,3.9,0.271507468,CarlsJr.,JackintheBox,0.351563807,310,1855,3.96,1612,4,0.129556998
3.832051282,3.9,0.271507468,CarlsJr.,Subway,0.300551932,306,967,3.96,798,4,0.261656771
3.832051282,3.9,0.271507468,CarlsJr.,In-N-OutBurger,0.281150694,294,4018,4.62,3401,4.6,0.084589313
3.832051282,3.9,0.271507468,CarlsJr.,ElPolloLoco,0.181301221,272,1871,3.94,1603.5,4,0.250518493
3.832051282,3.9,0.271507468,CarlsJr.,TacoBell,0.176116407,192,2554,3.89,1985,3.9,0.338956477
3.752013423,3.8,0.156125401,McDonalds,JackintheBox,0.316860465,594,1711,3.94,1462,3.9,0.123808702
3.752013423,3.8,0.156125401,McDonalds,In-N-OutBurger,0.297535211,538,4304,4.61,3584,4.6,0.088134671
3.752013423,3.8,0.156125401,McDonalds,Subway,0.296388798,592,1076,3.94,851,4,0.347788425
3.752013423,3.8,0.156125401,McDonalds,ElPolloLoco,0.179659351,530,2075,3.94,1755,4,0.238781766
3.752013423,3.8,0.156125401,McDonalds,TacoBell,0.154069767,374,2121,3.9,1708,3.9,0.231238752
3.752013423,3.8,0.156125401,McDonalds,CarlsJr.,0.12831641,426,2336,3.82,1892,3.9,0.311981634
3.752013423,3.8,0.156125401,McDonalds,PandaExpress,0.101498526,216,2823,3.91,2239,3.9,0.141117916
3.921276596,4,0.170651032,DelTaco,McDonalds,0.495917085,188,1367,3.75,1253.5,3.8,0.139682107
3.921276596,4,0.170651032,DelTaco,JackintheBox,0.352701005,188,1780,3.94,1475,3.9,0.124813124
3.921276596,4,0.170651032,DelTaco,In-N-OutBurger,0.33040201,178,3344,4.62,2831,4.6,0.097176397
3.921276596,4,0.170651032,DelTaco,Subway,0.288944724,184,926,3.89,766.5,4,0.520736128
3.921276596,4,0.170651032,DelTaco,TacoBell,0.180904523,140,2186,3.9,2313,3.9,0.243193045
3.921276596,4,0.170651032,DelTaco,ElPolloLoco,0.174623116,160,2344,3.99,2098.5,4.05,0.229316239
3.946153846,4,0.239849832,LittleCaesars,McDonalds,0.480784955,234,1275,3.72,1050,3.7,0.16609369
3.954359926,4,0.275927359,Subway,McDonalds,0.456373723,1090,1530,3.74,1283,3.7,0.161590862
3.954359926,4,0.275927359,Subway,JackintheBox,0.285146892,964,1783,3.93,1574.5,3.9,0.124453143
3.954359926,4,0.275927359,Subway,In-N-OutBurger,0.278212079,888,4068,4.61,3433.5,4.6,0.097287652
3.954359926,4,0.275927359,Subway,ElPolloLoco,0.165615937,834,2109,3.94,1919,4,0.240896093
3.954359926,4,0.275927359,Subway,TacoBell,0.126780986,366,2120,3.87,1772,3.9,0.32347696
3.954359926,4,0.275927359,Subway,CarlsJr.,0.113289623,556,2148,3.83,1758,3.9,0.285480326
3.954359926,4,0.275927359,Subway,PandaExpress,0.106102635,404,2114,3.92,1728.5,3.9,0.154830245
3.917721519,3.9,0.159317765,TacoBell,McDonalds,0.509339469,312,1183,3.77,920.5,3.8,0.141868113
3.917721519,3.9,0.159317765,TacoBell,JackintheBox,0.359231186,308,1657,3.94,1529,4,0.123227867
3.917721519,3.9,0.159317765,TacoBell,In-N-OutBurger,0.301028695,260,3828,4.62,3504,4.6,0.089429487
3.917721519,3.9,0.159317765,TacoBell,Subway,0.272198159,310,1002,3.98,816,4,0.254757848
3.917721519,3.9,0.159317765,TacoBell,ElPolloLoco,0.185165133,262,1997,3.91,2013,3.9,0.239517122
3.917721519,3.9,0.159317765,TacoBell,CarlsJr.,0.142528424,226,1986,3.84,1720,3.9,0.311167356
4.1,4.1,1.78E-15,TheCoffeeBean&TeaLeaf,McDonalds,0.309306261,212,1727,3.75,1550.5,3.7,0.152422003
4.1,4.1,1.78E-15,TheCoffeeBean&TeaLeaf,Subway,0.240270728,210,951,3.85,942,4,0.58474174
4.1,4.1,1.78E-15,TheCoffeeBean&TeaLeaf,In-N-OutBurger,0.226395939,190,4298,4.57,3636,4.6,0.098880156
4.047058824,4.1,0.134095285,ChipotleMexicanGrill,McDonalds,0.358413828,204,1416,3.75,1307.5,3.8,0.164930403
4.047058824,4.1,0.134095285,ChipotleMexicanGrill,Subway,0.271987799,196,903,3.94,811.5,3.95,0.225803208
3.939148936,4,0.123078072,JackintheBox,McDonalds,0.515109159,468,1433,3.76,1214.5,3.8,0.15835568
3.939148936,4,0.123078072,JackintheBox,Subway,0.301051651,468,1173,3.94,946,4,0.454195304
3.939148936,4,0.123078072,JackintheBox,In-N-OutBurger,0.28534345,406,4131,4.62,3494,4.6,0.085818972
3.939148936,4,0.123078072,JackintheBox,ElPolloLoco,0.192292332,430,2294,3.93,2024,3.9,0.247380653
3.939148936,4,0.123078072,JackintheBox,TacoBell,0.176650692,326,2306,3.91,1787,3.9,0.23497333
3.939148936,4,0.123078072,JackintheBox,CarlsJr.,0.139909478,384,2596,3.86,2194,3.9,0.146151996
4.08125,4.1,0.150908706,Wendys,McDonalds,0.497032641,96,1445,3.76,1200,3.8,0.164094739
3.955844156,4,0.243349733,ElPolloLoco,McDonalds,0.505355292,308,1082,3.75,955.5,3.8,0.165634064
3.955844156,4,0.243349733,ElPolloLoco,JackintheBox,0.332719106,306,1649,3.94,1500,4,0.114197802
3.955844156,4,0.243349733,ElPolloLoco,Subway,0.302545203,308,741,3.96,533.5,4,0.261610152
3.955844156,4,0.243349733,ElPolloLoco,In-N-OutBurger,0.286191408,270,3804,4.61,3162,4.6,0.085893992
3.955844156,4,0.243349733,ElPolloLoco,TacoBell,0.157549234,120,1912,3.89,1359,3.9,0.312672175
3.955844156,4,0.243349733,ElPolloLoco,CarlsJr.,0.124841645,186,1698,3.83,1492,3.9,0.337219799
3.763809524,3.8,0.207994418,BurgerKing,McDonalds,0.50660793,210,1381,3.75,1229,3.8,0.172415151
3.763809524,3.8,0.207994418,BurgerKing,JackintheBox,0.35866373,210,1714,3.95,1480,4,0.127291691
3.763809524,3.8,0.207994418,BurgerKing,Subway,0.281938326,204,946,3.96,767.5,4,0.288388648
3.763809524,3.8,0.207994418,BurgerKing,In-N-OutBurger,0.203010279,154,3708,4.62,3260,4.6,0.101165413
3.763809524,3.8,0.207994418,BurgerKing,ElPolloLoco,0.20154185,188,1783,3.9,1752.5,3.9,0.244069542
4.628169014,4.6,0.058582069,In-N-OutBurger,McDonalds,0.475433431,142,1521,3.78,1398,3.8,0.142719916
4.628169014,4.6,0.058582069,In-N-OutBurger,Subway,0.288714426,138,1179,3.94,1057,4,0.30143534
4.628169014,4.6,0.058582069,In-N-OutBurger,JackintheBox,0.28047105,138,1888,3.94,1516,4,0.10763736
4.628169014,4.6,0.058582069,In-N-OutBurger,ElPolloLoco,0.162577691,116,2176,4.03,1886,4.1,0.24037352
4.628169014,4.6,0.058582069,In-N-OutBurger,TacoBell,0.145502126,72,2042,3.95,1804.5,4,0.158965599
4.628169014,4.6,0.058582069,In-N-OutBurger,PandaExpress,0.117631665,64,1875,3.94,1415,4,0.145236875
4.628169014,4.6,0.058582069,In-N-OutBurger,CarlsJr.,0.109977102,82,2382,3.85,2237,3.8,0.166890589
4.628169014,4.6,0.058582069,In-N-OutBurger,Chick-fil-A,0.101472031,50,3258,4.46,2717,4.5,0.274342851
4.464864865,4.5,0.127800977,Chick-fil-A,McDonalds,0.435840708,72,1422,3.75,1449,3.7,0.155431498
4.464864865,4.5,0.127800977,Chick-fil-A,In-N-OutBurger,0.428926991,66,2548,4.63,2492,4.6,0.067351851
4.464864865,4.5,0.127800977,Chick-fil-A,Subway,0.248064159,74,1026,3.85,871,3.9,0.324324324
4.464864865,4.5,0.127800977,Chick-fil-A,JackintheBox,0.22925885,72,1959,3.97,1737,4,0.104932371
